player_id,registration_date,days_since_registration,segment,total_playtime_hours,session_frequency_per_week,avg_session_duration_min,total_spending_usd,days_since_last_login,achievement_count,friend_count,chat_messages_sent,in_game_purchases_count,level_reached,churn_probability,churned_7day,churned_30day,engagement_score,play_intensity,session_consistency,achievement_velocity,recency_score,spending_per_hour,spending_per_session,purchase_frequency,avg_transaction_value,is_spender,spending_tier,social_score,chat_per_friend,social_ratio,is_social,leveling_speed,achievement_completion_rate,progression_score,fast_progressor,lifecycle_stage,inactivity_risk,activity_decay,last_login_bucket,expected_next_login,overdue_for_login,engagement_spending_ratio,activity_consistency,progression_balance,risk_inactive,risk_low_engagement,risk_declining,risk_no_friends,risk_no_spending,risk_short_sessions,total_risk_flags,high_risk,segment_encoded,above_segment_avg,spending_vs_segment
P8085,2025-08-15,136,Casual,40.8,4.2,23.0,0.0,25,45,5,2,0,20,0.8077,1,0,24.891666666666666,0.29781021897810217,0.6,1.0765550239234452,0.028115659748972035,0.0,0.0,0.0,0.0,0,Non-Spender,144.51858789480823,0.3333333333333333,0.11961722488038279,0,0.47846889952153115,0.3,24.0,0,Veteran,0.971884340251028,0.18248175182481752,Month,1.627906976744186,1,24.891666666666666,1.2639405204460965,2.142857142857143,1,1,0,0,1,0,3,1,0,1,-0.3495534339390206
P9344,2025-10-27,63,Whale,159.1,9.3,138.9,799.65,7,97,46,286,53,79,0.0,1,0,81.59880952380954,2.4859375,1.3285714285714287,0.6058713304184885,0.36787944117144233,4.994690818238601,9.440968122786304,5.3,14.808333333333334,1,Mega-Whale,475.481490873484,6.085106382978723,0.28732042473454095,1,0.4934415990006246,0.6466666666666666,73.26666666666667,1,Established,0.6321205588285577,0.109375,Week,0.7446808510638298,1,0.1019157053941292,0.8168797862044356,1.2125,0,0,0,0,0,0,0,0,3,1,-21.494432717678137
P1001,2025-11-23,36,Whale,123.2,5.8,94.6,873.7,1,97,39,210,58,61,0.0,0,0,61.63214285714285,3.32972972972973,0.8285714285714285,0.7809983896940419,0.8668778997501816,7.03462157809984,28.340593141797964,9.441860465116278,14.808474576271188,1,Mega-Whale,452.03687937950014,5.25,0.3140096618357488,1,0.49114331723027377,0.6466666666666666,62.46666666666667,1,Established,0.1331221002498184,0.02702702702702703,Today/Yesterday,1.1864406779661019,0,0.07046089271423671,2.565078760767144,1.564516129032258,0,0,0,0,0,0,0,0,3,0,52.55556728232193
P1756,2025-12-11,18,Regular,32.5,5.3,22.9,29.94,2,75,12,88,1,16,0.2424,0,0,30.797619047619047,1.7105263157894737,0.7571428571428571,2.2388059701492535,0.751477293075286,0.8937313432835822,2.0466796874999997,0.27999999999999997,14.97,1,Dolphin,352.67928635968383,6.769230769230769,0.3582089552238806,1,0.47761194029850745,0.5,29.6,0,Early,0.248522706924714,0.10526315789473684,Recent,1.2962962962962965,1,0.9953981592637055,5.240607219368363,4.411764705882353,0,0,0,0,0,0,0,0,2,0,-0.458501594048883
P10818,2025-11-19,40,Casual,23.0,0.6,24.0,0.0,13,45,3,0,0,11,0.7516,1,0,16.44642857142857,0.5609756097560976,0.08571428571428572,1.875,0.15611804531597107,0.0,0.0,0.0,0.0,0,Non-Spender,69.31471805599453,0.0,0.125,0,0.4583333333333333,0.3,18.6,0,Established,0.8438819546840289,0.3170731707317073,2-Weeks,10.0,1,16.44642857142857,9.698795180722893,3.75,1,1,1,0,1,0,4,1,0,1,-0.3495534339390206
P10636,2025-12-10,19,Hardcore,85.9,14.0,81.3,112.5,2,112,35,153,7,42,0.0193,0,0,71.34166666666667,4.295,2.0,1.288837744533947,0.751477293075286,1.294591484464902,2.8846153846153846,1.8846153846153846,14.0625,1,Mega-Whale,431.02357704348697,4.25,0.40276179516685845,1,0.4833141542002301,0.7466666666666667,55.06666666666666,0,Early,0.248522706924714,0.1,Recent,0.49645390070921985,1,0.62856093979442,1.6365021908935036,2.604651162790698,0,0,0,0,0,0,0,0,1,0,11.049226305609281
P4570,2025-12-15,14,Casual,12.8,4.3,18.1,0.0,20,45,1,20,0,6,0.95,1,0,20.54940476190476,0.8533333333333334,0.6142857142857142,3.260869565217391,0.05743261926761735,0.0,0.0,0.0,0.0,0,Non-Spender,186.88348091416842,10.0,0.07246376811594203,0,0.43478260869565216,0.3,15.6,0,Early,0.9425673807323827,1.3333333333333333,Month,1.590909090909091,1,20.54940476190476,3.5611610868960404,6.428571428571429,1,1,0,1,1,0,4,1,0,1,-0.3495534339390206
P6615,2025-11-26,33,Hardcore,194.7,8.9,49.8,184.29,4,112,39,105,12,97,0.0,0,0,69.27202380952382,5.726470588235294,1.2714285714285716,0.5723045477772101,0.5647181220077593,0.9416964741951968,4.290089790488858,2.1,14.176153846153845,1,Mega-Whale,417.61592741130016,2.625,0.1992846193152785,1,0.4956566172713337,0.7466666666666667,88.06666666666666,1,Established,0.4352818779922407,0.11764705882352941,Week,0.7777777777777778,1,0.37385732532529453,5.434838956657667,1.1428571428571428,0,0,0,0,0,0,0,0,1,0,82.83922630560927
P6340,2025-09-10,110,Hardcore,126.2,9.6,214.3,100.32,3,112,28,131,6,63,0.0,0,0,96.23035714285716,1.1369369369369369,1.3714285714285714,0.8805031446540881,0.6514390575310556,0.7886792452830188,0.6606208842897461,0.358974358974359,14.331428571428571,1,Mega-Whale,412.5048876286422,4.517241379310345,0.22012578616352202,1,0.49528301886792453,0.7466666666666667,67.66666666666666,1,Veteran,0.3485609424689444,0.02702702702702703,Recent,0.7216494845360826,1,0.9497666516270941,0.2337853430298411,1.75,0,0,0,0,0,0,0,0,1,1,-1.1307736943907258
P5315,2025-09-06,114,Casual,27.4,4.3,5.0,0.0,0,45,4,1,0,13,0.2801,0,0,19.645238095238092,0.2382608695652174,0.6142857142857142,1.5845070422535212,1.0,0.0,0.0,0.0,0.0,0,Non-Spender,115.12925464970229,0.2,0.14084507042253522,0,0.45774647887323944,0.3,19.8,0,Veteran,0.0,0.0,Today/Yesterday,1.590909090909091,0,19.645238095238092,4.0083594566353185,3.2142857142857144,0,1,0,0,1,1,3,1,0,1,-0.3495534339390206
